name,streetaddress,city,zipcode,county
"Dr. EJ's Fitness Bootcamp","P.O. Box 410312","Creve Coeur",63141,"St. Louis "
"Dr. Joyce Johnson MD","965 Midland","St. Louis",63130,"St. Louis "
"Drew Lewis Foundation","1126 North Broadway",Springfield,65802,"Greene "
"Drexel R-IV School District","207 South 4th Street",Drexel,64742,"Cass "
"Dunbar Elementary School","1415 North Garrison","St. Louis",63106,"St. Louis city "
"Dunklin County Health Department","410 Teaco Road",Kennett,63857,"Dunklin "
"E W Thompson State School for the Severely Disabled","1520 Thompson Boulevard",Sedalia,65301,"Pettis "
"Eagle College Preparatory Schools","3630 Ohio Ave","Saint Louis",63118,"St. Louis "
"Early Child's Hope - Steppingstone","5100 Noland Road","Kansas City",64133,"Jackson "
"East Buchanan C-1 School District","100 Smith Street",Gower,64454,"Clinton "
"East Carter County R-II School District","24 South Herre Road",Ellisnore,63937,"Carter "
"East Missouri Action Agency","403 Parkway Drive","Park Hills",63601,"St. Francois "
"East Newton County R-VI School District","22808 East Highway 86",Granby,64844,"Newton "
"East Prairie Dental Center","111 Prairie Drive","East Prairie",63845,"Mississippi "
"East Prairie R-II School District","304 East Walnut","East Prairie",63845,"Mississippi "
"Easterseals Midwest - Columbia","918 Bernadette Drive",Columbia,65203,"Boone "
"Easterseals Midwest - St. Louis","11933 Westline Industrial Drive","St. Louis",63146,"St. Louis "
"Economic Security Corporation","302 South Joplin Avenue",Joplin,64801,"Jasper "
"Edina Family Health","104 E. Jackson",Edina,63537,"Knox "
EducationPlus,"1460 Craig Road","St. Louis",63146,"St. Louis "
"Effectus Healthcare Solutions","82 Cinnamon Tree Court","St. Charles",63304,"St. Charles "
EITAS,"8511 Hillcrest Road","Kansas City",64138,"Jackson "
"El Dorado Springs R-II School District","901 South Grand","El Dorado Springs",64744,"Cedar "
"Eldon R-I School District","112 South Pine Street",Eldon,65026,"Miller "
"Eldon R-I School District - South Elementary","1210 South Maple Street",Eldon,65026,"Miller "
"Elfrink Surgical","2305 South Highway 65",Marshall,65340,"Saline "
"Elizabeth Allemann MD LLC","1200 Fay Street",Columbia,65201,"Boone "
"Ellendel ISL","1108 East Patterson Suite 9",Kirksville,63501,"Adair "
"Ellett Memorial Hospital","109 East 2nd Street","Appleton City",64724,"St. Clair "
"Ellington Family Clinic","61 Hwy Y",Ellington,63638,"Reynolds "
"Ellis Fischel Cancer Center","1 Hospital Drive",Columbia,65212,"Boone "
"Ellis Froeschle MD PC","601 Redbud Lane",Columbia,65203,"Boone "
"Elsberry Dental","110 South 4th",Elsberry,63343,"Lincoln "
"Emmanuel Family and Child Development Center","2416 Swope Parkway","Kansas City",64130,"Jackson "
"Endless Options Inc.","222 East Davis Street",Fayette,65248,"Howard "
"ENT Associates ","226 South Woods Mill","St. Louis",63017,"St. Louis "
"EPICC by CommCare","1627 Main Street","Kansas City",64108,"Jackson "
"Epilepsy Foundation of Missouri and Kansas","4406 St. Vincent","St. Louis",63119,"St. Louis "
"Esse Health","12655 Olive Boulevard 4th Floor","St. Louis",63141,"St. Louis "
"Esse Health - Mason Road Pediatrics","13001 North Outer Forty","Town and Country",63017,"St. Louis "
"Esse Health - Sappington","13303 Tesson Ferry Road #150",Sappington,63128,"St. Louis "
"Eureka Dental Arts","97 Hilltop Village Center",Eureka,63025,"St. Louis "
"Evalytics LLC","5423 North Northwood Road","Kansas City",64151,"Platte "
"EverSpring Pharmacy","1884 Lackland Hill Parkway Suite 6","St. Louis",63146,"St. Louis "
"Excelsior Springs School District","300 West Broadway","Excelsior Springs",64024,"Clay "
"Fair Grove R-X School District","132 North Main","Fair Grove",65648,"Greene "
"Faith Community Health Center","610 South Sixth Street",Branson,65616,"Taney "
"Faith Hope & Love","12830 Danube Drive",Florissant,63033,"St. Louis "
"Family Care Health Centers - Holly Hills","401 Holly Hills Avenue","St. Louis",63111,"St. Louis city "
"Family Care Health Centers - Manchester","4352 Manchester Avenue","St. Louis",63110,"St. Louis "
"Family Care Health Centers - Places for People (Health)","4130 Lindell Boulevard","St. Louis",63108,"St. Louis city "
"Family Counseling Center - Kennett","875 Highway VV",Kennett,63857,"Dunklin "
"Family Counseling Center - Piedmont","306 North 2nd Street",Piedmont,63957,"Wayne "
"Family Counseling Center - Poplar Bluff","3001 Warrior Lane","Poplar Bluff",63901,"Butler "
"Family Counseling Center - Stapleton Center","Highway J North",Hayti,63851,"Pemiscot "
"Family Counseling Center Adolescent Cstar","1109 Jones ",Kennett,63857,"Dunklin "
"Family Dental Center","1101 North Providence Road",Columbia,65203,"Boone "
"Family Dental Center @ Marceline","1600 N. Missouri Avenue",Marceline,64658,"Linn "
"Family Dental Center @ Salisbury","307 South Broadway",Salisbury,65281,"Chariton "
"Family Foot Clinic","106 Butler Street",Macon,63552,"Macon "
"Family Guidance Behavioral Health Center","724 North 22nd","St. Joseph",64507,"Buchanan "
"Family Guidance Center","724 North 22nd Street","St. Joseph",64506,"Buchanan "
"Family Guidance Center - Felix","901 Felix Street","St. Joseph",64503,"Buchanan "
"Family Health Center - Broadway Bluffs","2475 Broadway Bluffs Suite 200",Columbia,65201,"Boone "
"Family Health Center - Marceline","1600 North Missouri",Marceline,64658,"Linn "
"Family Health Center - Worley","1001 West Worley",Columbia,65203,"Boone "
"Family Health Center (Administrative Office)","401 West Boulevard North",Columbia,65203,"Boone "
"Family Health Center @ Salisbury","307 South Broadway",Salisbury,65281,"Chariton "
"Family Medicine Associates","2303 Village Drive","St. Joseph",64506,"Buchanan "
"Family Medicine Care Center - Cox Family Medicine Residency","1423 North Jefferson Avenue Suite A100",Springfield,65802,"Greene "
"Family Medicine of Southeast Missouri","808 East Wakefield Avenue",Sikeston,63801,"Scott "
"Family Walk In Clinic of Mountain Grove","205 West 3rd Street Suite 3","Mountain Grove",65711,"Wright "
"Farmington R-VII School District - High School","One Black Knight Drive",Farmington,63640,"St. Francois "
"Farmington R-VII School District - Main Office","1022 Sainte Genevieve Avenue",Farmington,63640,"St. Francois "
"Farmington R-VII School District - Middle School","506 South Fleming Street",Farmington,63640,"St. Francois "
"Farmington R-VII School District - Parents As Teachers","309 North Franklin Street",Farmington,63640,"St. Francois "
"Fayette R-III School District","704 Lucky Street",Fayette,65248,"Howard "
"FCC Behavioral Health - Cape Girardeau","20 South Sprigg Street","Cape Girardeau",63701,"Cape Girardeau "
"FCC Behavioral Health - Ely Street","1201 Ely Street",Kennett,63857,"Dunklin "
"FCC Behavioral Health - Hayti","500 Highway 61 J North",Hayti,63851,"Pemiscot "
"FCC Behavioral Health - Highway VV","935 Highway VV",Kennett,63857,"Dunklin "
"FCC Behavioral Health - Jones Street","1075 Jones Street",Kennett,63857,"Dunklin "
"FCC Behavioral Health - Poplar Bluff","3001 Warrior Lane","Poplar Bluff",63901,"Butler "
"FCC Behavioral Health - Van Buren","1011 Old Business Highway 60","Van Buren",63965,"Carter "
"Ferguson Medical Group - Charleston","112 West Commercial Street",Charleston,63834,"Mississippi "
"Ferguson Medical Group - Dexter","115 East Business Highway 60",Dexter,63841,"Stoddard "
"Ferguson Medical Group - East Prairie","320 North Lincoln Street","East Prairie",63845,"Mississippi "
"Ferguson Medical Group - New Madrid","565 Virginia Avenue","New Madrid",63849,"New Madrid "
"Ferguson Medical Group - Sikeston","1012 North Main Street",Sikeston,63801,"Scott "
"Ferguson-Florissant School District","8855 Dunn Road",Hazelwood,63042,"St. Louis "
"Ferguson-Florissant School District - Duchesne Elementary","100 South New Florissant Road","St. Louis",63031,"St. Louis "
"Ferguson-Florissant School District - Griffith Elementary","200 Day Drive",Ferguson,63135,"St. Louis "
"Ferguson-Florissant School District - Johnson-Wabash Elementary","685 January Avenue",Ferguson,63135,"St. Louis "
"Fernando Fernandez MD","2750 Clay Edwards Drive Suite 320","North Kansas City",64116,"Clay "
"Festus R-VI School District","1515 Mid-Meadow Lane",Festus,63028,"Jefferson "
"First Call","9091 State Line Road","Kansas City",64114,"Jackson "
"First Hand Foundation","2800 Rockcreek Parkway","Kansas City ",64117,"St. Louis "
"Fitzgibbon Hospital","2305 South 65 Highway",Marshall,65340,"Saline "
"Fitzgibbon Hospital - Akeman McBurney Clinic","420 West Front Street",Slater,65349,"Saline "
"Fitzgibbon Hospital - Grand River Medical Clinic","815 East Broadway",Brunswick,65236,"Chariton "
"Fitzgibbon Hospital - Marshall Family Practice","2305 South 65 Highway Suite A",Marshall,65340,"Saline "
"Florence Hill Health Center","5541 Riverview Drive","St. Louis",63120,"St. Louis city "
"Food Nutrition & Lifestyle Coach LLC","116 Ventura Avenue","Jefferson City ",65109,"Cole "
"Footprints Inc.","4501 Troost Avenue","Kansas City",64110,"Jackson "
"Fordland Clinic","1059 Barton Drive",Fordland,65652,"Webster "
"Fordland Clinic - Kimberling City","11863 State Highway 13","Kimberling City",65686,"Stone "
"Fordland R-III School District","1230 School Street",Fordland,65652,"Webster "
"Forest Park Southeast Health & Dental Center","4352 Manchester Avenue","St. Louis",63110,"St. Louis city "
"Forsyth R-III School District","178 Panther Street",Forsyth,65653,"Taney "
"Fort Leonard Wood VA Clinic","700 GW Lane",Waynesville,65583,"Pulaski "
"Fort Osage School District","2101 North Twyman Road",Independence,64058,"Jackson "
"Fort Zumwalt R-II School District","1251 Turtle Creek",O'Fallon,63366,"St. Charles "
"Forward Living LLC","400 North Water",Liberty,64068,"Clay "
"Foster and Adoptive Care Coalition","1750 South Brentwood Boulevard Suite 210","St. Louis",63144,"St. Louis "
"Fox C-6 School District","3871 Jeffco Boulevard",Arnold,63010,"Jefferson "
"Fox C-6 School District - George Guffey Elementary","400 13th Street",Fenton,63026,"Jefferson "
"Francis Howell School District","4545 Central School Road","St. Charles",63304,"St. Charles "
"Franklin County Community Resource Board","P.O. Box 126",Union,63084,"Franklin "
"Franklin County R-II School District","3128 Highway Y","New Haven",63068,"Franklin "
"Franklin County Special Education Cooperative","1773 West Springfield","St. Clair",63077,"Franklin "
"Fredericktown R-I Public Schools","805 East Highway 72",Fredericktown,63645,"Madison "
"Freeman Children's Clinic","1030 McIntosh Circle Drive #1",Joplin,64804,"Jasper "
"Freeman Health System","1102 West 32nd Street",Joplin,64804,"Newton "
"Freeman Health System - Center for Geriatric Medicine","931 East 32nd Street",Joplin,64804,"Jasper "
"Freeman Hospital West","1030 McIntosh Circle Suite 1",Joplin,64804,"Jasper "
"Freeman Neosho Pediatrics","336 South Jefferson Street",Neosho,64850,"Newton "
"Freeman NeuroSpine","1905 West 32nd Street Suite 403",Joplin,64804,"Jasper "
"Freeman Pediatric Care","3333 McIntosh Circle Suite 1",Joplin,64804,"Newton "
"Freeman Pediatric Partners","1030 McIntosh Circle Drive Suite 2",Joplin,64804,"Jasper "
"Freeman Rehabilitation & Sports Center","2206 East 32nd Street",Joplin,64804,"Jasper "
"Fresenius Kidney Care","11503 East 63rd Street ",Raytown,64133,"Jackson "
"Freudenthal Center for Parkinson's Disease","3001 Frederick Avenue Suite A","St. Joseph",64506,"Buchanan "
"Freudenthal Hospice","3105 Frederick Avenue","St. Joseph",64506,"Buchanan "
"Frontier School of Innovation","1575 Universal Avenue","Kansas City",64120,"Jackson "
"Frontier Schools","30 West Pershing Road Suite 402","Kansas City",64108,"Jackson "
"Fulton 58 Public Schools","603 South Business 54",Fulton,65251,"Callaway "
"Fulton 58 Public Schools - Bush Elementary","908 Wood Street",Fulton,65251,"Callaway "
"Fulton State Hospital","600 East 5th Street",Fulton,65251,"Callaway "
"G.L.O. & Associates","3432 Truman Boulevard Suite 201","Jefferson City",65109,"Cole "
"Gainesville R-V School District","422 Bulldog Drive",Gainesville,65655,"Ozark "
"Galena R-II School District","54 Medical Springs Road",Galena,65656,"Stone "
"Gallatin R-V School District","602 South Olive",Gallatin,64640,"Daviess "
"Gasconade County Health Department","300 Schiller Street",Hermann,65041,"Gasconade "
"Gasconade County R-I School District","164 Blue Pride Drive",Hermann,65041,"Gasconade "
"Gasconade County R-II School District","402 East Lincoln Avenue",Owensville,65066,"Gasconade "
"Gateway 6th Grade Center","9201 North Indiana Avenue","Kansas City",64156,"Jackson "
"Gateway Foundation Inc.","1430 Olive Suite 300","St. Louis",63103,"St. Louis city "
"Gateway Science Academy","5049 Fyler","St. Louis",63139,"St. Louis "
"Gateway to Hope ","425 North New Ballas Road Suite 220","St. Louis",63141,"St. Louis "
"General Leonard Wood Army Hospital","118 Liberty Parkway","St. Robert",65584,"Pulaski "
"Gibson Recovery Center - Cape Girardeau","1112 Linden","Cape Girardeau",63701,"Cape Girardeau "
"Gibson Recovery Center - Perryville","1418 West St. Joseph Street Suite 60",Perryville,63775,"Perry "
"Gibson Recovery Center - Sikeston","137 East Front ",Sikeston,63801,"Scott "
"Gilda's Club KC","21 West 43rd Street","Kansas City",64111,"Jackson "
"Glasgow School District","860 Randolph Street",Glasgow,65254,"Howard "
"Glenwood R-VIII School District","10286 State Route 17","West Plains",65775,"Howell "
"Golden City R-III School District","1208 Walnut Street","Golden City",64748,"Barton "
"Golden Valley Memorial Clinic","1601 North 2nd Street Pediatrics Office",Clinton,64735,"Henry "
"Golden Valley Memorial Healthcare","1600 North Second Street",Clinton,64735,"Henry "
"Golden Valley Memorial Healthcare - Osceola Clinic","675 3rd Street",Osceola,64776,"St. Clair "
"Golden Valley Memorial Healthcare - Rehab & Wellness","1200 East Ohio Street",Clinton,64735,"Henry "
"Golden Valley Memorial Healthcare - Windsor","100 South Tebo Street",Windsor,65360,"Henry "
"Golden Valley Memorial Hospital - Hospice","725 East Ohio Street",Clinton,64735,"Henry "
"Good Samaritan Project","5008 Prospect Avenue","Kansas City",64130,"Jackson "
"Good Shepherd Hospice","123 West Kansas Avenue",Independence,64050,"Jackson "
"Government Employees Health Association (GEHA)","200 Northeast Mulberry Street","Lee's Summit",64086,"Jackson "
"Grain Valley R-V School District","31604 Northeast Pink Hill Road","Grain Valley",64029,"Jackson "
"Grain Valley R-V School District - High School","551 Southwest Eagles Parkway","Grain Valley",64029,"Jackson "
"Grain Valley R-V School District - Matthews Elementary","144 Northeast McQuerry Road","Grain Valley",64029,"Jackson "
"Grain Valley R-V School District - Sni-A-Bar Elementary","701 Southwest Eagles Parkway","Grain Valley",64029,"Jackson "
"Grain Valley R-V School District - Stony Point Elementary","1001 West Ryan Road","Grain Valley",64029,"Jackson "
"Grandview C-4 School District","15010 White Avenue",Grandview,64030,"Jackson "
"Great Circle","330 North Gore Avenue","St. Louis",63119,"St. Louis "
"Great Mines Health Center","#1 Southtowne Drive",Potosi,63664,"Washington "
"Great Mines Health Center of Farmington (Dental)","508 West Pine",Farmington,63640,"St. Francois "
"Greater Ozarks Rural Psychologist","827 West Commercial Street",Mansfield,65704,"Wright "
"Green City R-I School District","301 Northeast Street","Green City",63545,"Sullivan "
"Green Hills Head Start","205 West 18th Street",Trenton,64683,"Grundy "
"Green Ridge R-VIII School District","401 West Pettis Street","Green Ridge",65332,"Pettis "
"Greenville R-II School District","185 Walnut",Greenville,63944,"Wayne "
"Grundy County Health Department","1716 Lincoln Street",Trenton,64683,"Grundy "
"Guadalupe Centers School","5123 East Truman Road","Kansas City",64127,"Jackson "
"H. Kenneth Kirchner State School for the Severely Disabled","1403 Riverside Drive","Jefferson City",65101,"Cole "
"Hale R-I School District","518 Main Street",Hale,64643,"Carroll "
"Halfway R-III School District","2150 Highway 32",Halfway,65663,"Polk "
"Hallsville R-IV School District","6401 East Highway 124",Hallsville,65255,"Boone "
"Hamilton R-II School District","7650 Northwest Harley Road",Hamilton,64644,"Daviess "
"Hamlin Medical Innovations","1001 West Daugherty","Webb City",64870,"Jasper "
"Hampton Village Pediatrics LLC","16 Hampton Village Plaza Suite 220","St. Louis",63109,"St. Louis city "
"Hancock Place School District","229 West Ripa","St. Louis",63125,"St. Louis "
"Hannibal 60 School District","4650 McMasters Avenue",Hannibal,63401,"Marion "
"Hannibal Clinic","100 Medical Drive",Hannibal,63401,"Marion "
"Hannibal Public School District 60","4650 McMasters Avenue",Hannibal,63401,"Marion "
"Hannibal Regional Hospital","6000 Hospital Drive",Hannibal,63401,"Marion "
"Hannibal Regional Medical Group","6500 Hospital Drive",Hannibal,63401,"Marion "
"Hannibal Regional Medical Group - Pike Medical Clinic","211 South 3rd Street",Louisiana,63353,"Pike "
"Hardin-Central C-2 School District","500 Northeast 1st Street",Hardin,64035,"Ray "
"Harrisburg R-VIII School District","228 South Harris",Harrisburg,65256,"Boone "
"Harrison County Community Hospital","2600 Miller Street",Bethany,64424,"Harrison "
"Harrison County Health Department","5520 295th Street",Bethany,64424,"Harrison "
"Harrisonville R-IX School District","503 South Lexington",Harrisonville,64701,"Cass "
"Harry S. Truman Memorial Veteran's Hospital","800 Hospital Drive",Columbia,65201,"Boone "
"Harry S. Truman Veterans' Clinic","3320 West 10th Street",Sedalia,65355,"Pettis "
"Haven Recovery Homes","1902 Arsenal Street ","St. Louis",63118,"St. Louis city "
"Hazelwood School District","15955 New Halls Ferry Road",Florissant,63031,"St. Louis "
"HbL PharmaConsulting","9648 Olive Boulevard #309","St. Louis",63132,"St. Louis "
"HCA Midwest Health","903 East 104th Street Suite 500","Kansas City",64131,"Jackson "
"HCA Midwest Health - Higginsville Medical Clinic","3401 Pine Street",Higginsville,64037,"Lafayette "
"Head Start Early Education","18400 East Salsbury Road",Independence,64056,"Jackson "
HeadStart,"P.O. Box 328",Maryville,64468,"Nodaway "
"Healing Action","P.O. Box 39429 ","St. Louis",63139,"St. Louis city "
"Healing House Kansas City Inc.","4505 St. John Avenue","Kansas City",64123,"Jackson "
"Health and Dental Care for Kids","4055 Lindell Boulevard","St. Louis",63108,"St. Louis city "
"Health Care Collaborative (HCC) of Rural Missouri","608 Missouri Street",Waverly,64067,"Lafayette "
"Health Care Collaborative (HCC) of Rural Missouri","206 North Bismark",Concordia,64020,"Lafayette "
"Health Care Collaborative (HCC) of Rural Missouri - Carrollton","1413 N. Jefferson Street",Carrollton,64633,"Carroll "
"Health Care Collaborative of Rural Missouri - Buckner","324 South Hudson Street",Buckner,64016,"Jackson "
"Health Care Collaborative of Rural Missouri - Lexington","825 South Business 13 Highway",Lexington,64067,"Lafayette "
"Health Forward","2300 Main Street Suite 304","Kansas City",64108,"Jackson "
"Health Literacy Media","911 Washington Avenue Suite 625","St. Louis",63101,"St. Louis city "
"Health Nevada","212 West Walnut Suite B",Nevada,64772,"Vernon "
"Health Quality Innovators","552 Great Hill Drive",Ballwin,63021,"St. Louis "
"Health Quality Innovators - Ashland","510 Turner Avenue",Ashland,65010,"Boone "
"Health Quality Solutions",NA,"St. Louis",63117,"St. Louis "
"Health Resources & Services Administration","601 East 12th Street Room 250","Kansas City",64106,"Jackson "
"Healthy Nevada","212 West Walnut Street Suite B",Nevada,64772,"Vernon "
"Heartland Center for Behavioral Change","1534 Campbell Avenue","Kansas City ",64108,"Jackson "
"Heartland Hospice","12101 Woodcrest Executive Drive","St. Louis",63141,"St. Louis "
"Helias Catholic High School","1305 Swifts Highway","Jefferson City",65109,"Cole "
"Hellman & Rosen Endocrine Associates PC","2790 Clay Edwards Drive Suite 1250","North Kansas City",64116,"Clay "
"Help at Home","840 East Primrose",Springfield,65807,"Greene "
"Henry County Health Center","1800 Community Drive Suite A",Clinton,64735,"Henry "
"Hermann Area District Hospital","509 West 18th Street",Hermann,65041,"Gasconade "
"HHR LLC","101 Bogie Hills Drive",Columbia,65201,"Boone "
"Hickman Mills C-1 School District","9000 A Old Santa Fe Road","Kansas City",64138,"Jackson "
"Hickory County R-I School District","20663 U.S. Highway 65",Urbana,65767,"Hickory "
"Higbee School District","101 Evans Street",Higbee,65257,"Randolph "
"Higginsville Habilitation Center","100 West 1st Street",Higginsville,64037,"Lafayette "
"High Road School","409 Vandiver Drive ",Columbia,65202,"Boone "
"Hillsboro R-III School District","5 Ridgewood Drive",Hillsboro,63050,"Jefferson "
"Hillyard Technical Center","3434 Faraon Street","St. Joseph",64506,"Buchanan "
"Hines Street Pharmacy","1173 East Hines Street",Republic,65738,"Greene "
"Holcomb R-III School District","102 South Cherry Street",Holcomb,63852,"Dunklin "
"Holy Cross School","7748 MacKenzie Road","St. Louis",63123,"St. Louis "
"Home State Health - Borman","11720 Borman Drive","Maryland Heights",63146,"St. Louis "
"Home State Health - Independence","4721 South Cliff Drive Suite 150",Independence,64055,"Jackson "
"Home State Health - Swingley Ridge","16090 Swingley Ridge Road",Chesterfield,63107,"St. Louis "
"Homer G. Phillips Health Center","2425 North Whittier Street","St. Louis",63113,"St. Louis city "
"Hometown Family Medicine ","4581 Gravois Road","House Springs",63051,"Jefferson "
"Hope Family Care Center","3027 Prospect Avenue","Kansas City",64128,"Jackson "
"Hospice of Northeast Missouri","201 South Baltimore Street Suite C",Kirksville,63501,"Adair "
"Houston R-I School District","423 West Pine",Houston,65483,"Texas "
"Howard County Sheltered Services","600 West Morrison Street",Fayette,65248,"Howard "
"Howell County Health Department","180 Kentucky","West Plains",65775,"Howell "
"Howerton Integrated Medical Clinic","1547 West Commerce",Marshall,65340,"Saline "
"Humana - De Soto",N/A,"De Soto",63020,"Jefferson "
"Humansville R-IV School District","300 North Oak Street",Humansville,65674,"Polk "
"Hume R-VIII School District","9163 Southwest 2nd Street",Hume,64752,"Bates "
"Hurley R-I School District","86 Holt Springs Road",Hurley,65765,"Stone "
"I AM Third Treatment Center","1701 St. Joseph Avenue","St. Joesph",64505,"Buchanan "
"I Connect The Dots Yoga","1007 West 61st","Kansas City",64113,"Jackson "
"Ian Fawks DO","2901 East Chinkapin",Springfield,65804,"Greene "
"Iberia R-V School District","201 Pemberton Drive",Iberia,65486,"Miller "
"Ideal Pediatrics","10007 Kennerly Road Suite C","St. Louis",63128,"St. Louis "
"in2Action - Reentry Opportunity Center","2103 Burlington Street Suite 101 ",Columbia,65202,"Boone "
"Independence Health System Inc.","800 South Kingshighway",Perryville,63775,"Perry "
"Independence School District","201 North Forest Avenue",Independence,64050,"Jackson "
"Independence Women's Clinic","19550 East 39th Street Suite 300",Independence,64057,"Jackson "
"Indian Creek Elementary","9801 Grand Avenue","Kansas City",64114,"Jackson "
"Inspire Home Health ","305 West Maple ","Pilot Knob",63663,"Iron "
"Institute for Family Medicine","722 Loughborough Avenue","St. Louis",63111,"St. Louis "
"Integrity Healthcare","141 Communication Drive",Hannibal,63401,"Marion "
"Integrity Home Care","905 Safari Drive",Columbia,65202,"Boone "
"Interim Hospice","4444 North Belleview Avenue",Gladstone,64116,"Clay "
"Iron County C-4 School District","20 Missouri Avenue",Viburnum,65566,"Iron "
"Iron County Medical Center","301 North Highway 21","Pilot Knob",63663,"Iron "
"Iron County Medical Center Family Care Clinic","600 North Main",Ironton,63663,"Iron "
"Iron County Medical Clinic","315 West Mulberry","Pilot Knob",63663,"Iron "
"J & S Tank Construction","3558 Rains Road",Jane,64856,"McDonald "
"Jackson County Missouri","2400 Troost Avenue","Kansas City",64108,"Jackson "
"Jackson R-II School District","614 East Adams Street",Jackson,63755,"Cape Girardeau "
"James Garb Pediatrics","1316 Old Highway 63 South Suite 200",Columbia,65203,"Boone "
"Jasper R-V School District","201 West Mercer",Jasper,64755,"Jasper "
"Jefferson City Medical Group","1241 West Stadium","Jefferson City",65109,"Cole "
"Jefferson City Public Schools","315 East Dunklin Street","Jefferson City",65101,"Cole "
"Jefferson County Health Department","405 Main Street",Hillsboro,63050,"Jefferson "
"Jefferson Franklin Community Action Corporation","2 Merchants Drive",Hillsboro,63050,"Jefferson "
"Jefferson R-VII High School","7 Blue Jay Way",Festus,63028,"Jefferson "
"Jefferson R-VII School District","1250 Dooling Hollow Drive",Festus,63028,"Jefferson "
"Jennings School District","2559 Dorwood Drive",Jennings,63136,"St. Louis "
"JMS Senior Living","3225 Emerald Lane Suite B","Jefferson City",65109,"Cole "
"John Burroughs School","755 South Price Road","St. Louis",63124,"St. Louis "
"John C. Murphy Health Center","6121 North Hanley Road",Berkeley,63109,"St. Louis "
"John Cary Early Childhood Center ","3155 Koch Road","Saint Louis",63125,"St. Louis "
"John Cochran VA Medical Center","915 North Grand Boulevard","St. Louis",63106,"St. Louis city "
"John Hartman DO FACOI ","2716 Wycliff Drive ","Farmington ",63640,"St. Francois "
"Johnson County R-VII School District","94 Northwest 58 Highway",Centerview,64019,"Johnson "
"Johnson Pediatrics PC","6973 Olive Boulevard","St. Louis",63130,"St. Louis "
"Joplin City Health Department","321 East 4th Street ",Joplin,64801,"Jasper "
"Joplin Nephrology ","522 West 32nd Street",Joplin,64804,"Newton "
"Joplin Schools","310 West 8th Street",Joplin,64801,"Jasper "
"Jordan Valley Community Health - Mobile Medical Unit","440 E. Tampa Street",Springfield,65806,"Greene "
"Jordan Valley Community Health - Mobile Optomatry Unit","440 E. Tampa Street",Springfield,65806,"Greene "
"Jordan Valley Community Health Center - Hollister","33 Gage Drive",Hollister,65672,"Taney "
"Jordan Valley Community Health Center - Lebanon","860 Lynn Street",Lebanon,65536,"Laclede "
"Jordan Valley Community Health Center - Marshfield","1166 Banning Street",Marshfield,65706,"Webster "
"Jordan Valley Community Health Center - Medical Tower Springfield","1443 N. Roberson",Springfield,65802,"Greene "
"Jordan Valley Community Health Center - Springfield","440 East Tampa Street",Springfield,65806,"Greene "
"Jordan Valley Community Health Center - Springfield Benton Clinic","618 North Benton",Springfield,65806,"Greene "
"Jordan Valley Community Health Center Dental Clinic","440 E. Tampa Street",Springfield,65806,"Greene "
"Jordan Valley Community Health Center Dental Clinic - Forsyth","15479 US Highway 160",Forsyth,65653,"Taney "
"Jordan Valley Community Health Center Republic Clinic","550 E. Harrison Street",Republic,65738,"Greene "
"Jordan Valley Community Health Center Springfield- Westside","660 S. Scenic Ave.",Springfield,65802,"Greene "
"Judevine Center for Autism ","201 Brown Lane ","Louisiana ",63353,"Pike "
"Junction Hill C-12 School District","8004 CR 3010","West Plains",65775,"Howell "
"Kahoka Dental","248 North Morgan Street",Kahoka,63445,"Clark "
"Kahoka Medical Clinic","103 East Commercial",Kahoka,63445,"Clark "
"Kanning Dental","201 East 6th Street",Lawson,64062,"Ray "
"Kansas City Behavioral Health ","10330 Hickman Mills Drive","Kansas City",64137,"Jackson "
"Kansas City Bone & Joint Orthopedic Clinic","3151 Northeast Carnegie Drive Suite B","Lee's Summit",64064,"Jackson "
"Kansas City Health Department","2400 Troost Avenue","Kansas City",64108,"Jackson "
"Kansas City Hospice & Palliative Care","1500 Meadow Lake Parkway Suite 200","Kansas City",64114,"Jackson "
"Kansas City Kidney Consultants","4320 Wornall Road Suite 208","Kansas City",64111,"Jackson "
"Kansas City Public Health Department","2400 Troost Avenue","Kansas City ",64108,"Jackson "
"Kansas City Public Schools","2901 Troost Avenue","Kansas City",64109,"Jackson "
"Kansas City Quality Improvement Consortium","6000 North Oak Trafficway","Kansas City",64118,"Clay "
"Kansas City University of Medicine & Bioscience","1750 Independence Avenue","Kansas City",64106,"Jackson "
"Kansas City VA Medical Center","4801 Linwood Boulevard","Kansas City",64128,"Jackson "
"Katy on the Go Mobile Dental","821 Westwood Drive",Sedalia,65301,"Pettis "
"Katy Trail Community Health","821 Westwood Drive",Sedalia,65301,"Pettis "
"Katy Trail Community Health - Marshall","1825 South Atchison Avenue",Marshall,65430,"Saline "
"Katy Trail Community Health - Prairie Hills Clinic","1109 West Clay Road",Versailles,65084,"Morgan "
"Katy Trail Community Health - Sedalia","821 Westwood Drive",Sedalia,65301,"Pettis "
"Katy Trail Community Health - Stover (Dental Only)","701 N Oak Street",Stover,65078,"Morgan "
"Katy Trail Community Health - Warsaw","17571 North Dam Access Road",Warsaw,65355,"Benton "
"KC Care Health Center - Broadway Boulevard","3515 Broadway Boulevard","Kansas City ",64111,"Jackson "
"KC Care Health Center - Independence Avenue","4601 Independence Avenue","Kansas City",64124,"Jackson "
