name,streetaddress,city,state,zipcode,county,country,phone
"Community Health Center of Central Missouri - Linn","1016 East Main Street",Linn,MO,65051,"Osage ",US,5738974946
"Community Health Center of Central Missouri- Stadium Clinic","1905 Stadium","Jefferson City",MO,65110,"Cole ",US,5736320277
"Community Health Center of Southeast Kansas","3011 North Michigan",Pittsburg,KS,66762,"Crawford County",US,"(620) 240-5007"
"Community Health Council of Wyandotte County","803 Armstrong Avenue","Kansas City",KS,66101,"Wyandotte County",US,"(816) 423-9882"
"Community Health Network of Connecticut","11 Fairfield Boulevard",Wallingford,CT,6410,"New Haven County",US,"(203) 949-6120"
"Community Hospital Fairfax","26136 US Highway 59",Fairfax,MO,64446,"Atchison ",US,"(660) 744-5361"
"Community Hospital Fairfax - Family Medicine Clinic","100 East Cass Street","Rock Port",MO,64482,"Atchison ",US,"(660) 744-5361"
"Community Medical Services","3825 North 24th Street",Phoenix,AZ,85016,"Maricopa County",US,"(480) 447-7302"
"Community Network for Behavioral Healthcare Inc.","1647 Main Street Suite 1100","Kansas City",MO,64108,"Jackson ",US,"(816) 472-9012"
"Community Options","801B Washington Street",Chillicothe,MO,64601,"Livingston ",US,"(660) 646-0109"
"Community Organizations Active in Disaster","7150 Ivon Ho Drive",Hillsboro,MO,63050,"Jefferson ",US,"(314) 565-5861"
"Community Outreach","421 SEMO Drive","New Madrid",MO,63869,"New Madrid ",US,5735210114
"Community Partners","36 Industrial Way",Rochester,NH,3867,"Strafford County",US,"(603) 305-1792"
"Community Partnership of the Ozarks","330 North Jefferson Avenue",Springfield,MO,65806,"Greene ",US,"(417) 888-2020"
"Community R-VI School District","35063 Highway BB",Laddonia,MO,63352,"Audrain ",US,"(855) 708-7567"
"Community Services Inc.","1212 B South Main",Maryville,MO,64468,"Nodaway ",US,"(660) 582-3113"
"CoMo Cubs Pediatrics","201 West Broadway Suite 2G",Columbia,MO,65203,"Boone ",US,"(573) 443-0937"
Comp1,"5471 Dr. Martin Luther King Drive","St. Louis",MO,63112,"St. Louis city ",US,3143675820
"Compass Health - Butler Dental Clinic","205 E. Dakota",Butler,MO,64730,"Bates ",US,6608908195
"Compass Health - Butler Medical and Behavioral Health","805 N. Orange Street",Butler,MO,64730,"Bates ",US,6608908195
"Compass Health - El Dorado Springs (Behavioral Health & Dental)","107 W. Broadway Street","El Dorado",MO,64744,"Cedar ",US,6608908195
"Compass Health - Jefferson City Children's Center","1905 Stadium","Jefferson City",MO,65109,"Cole ",US,8448538937
"Compass Health - Nevada","320 North Mac Boulevard",Nevada,MO,64772,"Vernon ",US,"(417) 667-1314"
"Compass Health - St. Peters Express Care","8075 Mexico Road","St. Peters",MO,63376,"St. Charles ",US,6367238477
"Compass Health - Sullivan","101 Progress Drive",Sullivan,MO,63080,"Franklin ",US,8448538937
"Compass Health Network - Berrywood","3501 Berrywood Drive ",Columbia,MO,65202,"Boone ",US,"(844) 853-8937"
"Compass Health Network - Clinton","1800 Community Drive",Clinton,MO,64735,"Henry ",US,"(660) 885-8131"
"Compass Health Network - Clinton Annex","100 North 2nd Street",Clinton,MO,64735,"Henry ",US,"(660) 351-5357"
"Compass Health Network - Cuba","1200 Martin Street Unit 2",Cuba,MO,65453,"Crawford ",US,"(573) 259-4388"
"Compass Health Network - El Dorado Springs","1301 Industrial Parkway East","El Dorado Springs",MO,64744,"Cedar ",US,"(660) 351-3754"
"Compass Health Network - Harrisonville","300 Galaxy Avenue",Harrisonville,MO,64701,"Cass ",US,"(816) 797-5740"
"Compass Health Network - Lebanon","860 Lynn Street",Lebanon,MO,65536,"Laclede ",US,
"Compass Health Network - Nifong","1000 West Nifong Boulevard Bldg. 6 Suite 220B",Columbia,MO,65203,"Boone ",US,"(573) 442-1690"
"Compass Health Network - Odessa","1278 West U.S. Highway 40",Odessa,MO,64076,"Lafayette ",US,"(660) 251-1246"
"Compass Health Network - Osceola","101 Hospital Drive",Osceola,MO,64776,"St. Clair ",US,"(660) 890-8195"
"Compass Health Network - Rolla","1450 East Tenth Street",Rolla,MO,65401,"Phelps ",US,"(573) 308-2632"
"Compass Health Network - Salem","913 South Pershing Avenue",Salem,MO,65560,"Dent ",US,"(573) 729-6222"
"Compass Health Network - St. Peters","111 Mexico Road","St. Peters ",MO,63376,"St. Charles ",US,"(314) 397-0772"
"Compass Health Network - Union","1780 Old Hwy 50 East",Union,MO,63084,"Franklin ",US,"(314) 809-3357"
"Compass Health Network - Warrensburg","616 Burkarth Road",Warrensburg,MO,64093,"Johnson ",US,"(660) 747-7127"
"Compass Health Network - Warrenton","19515 Brune Parkway",Warrenton,MO,63383,"Warren ",US,"(636) 856-3297"
"Compass Health Network - Warsaw","17571 North Dam Access Road",Warsaw,MO,65355,"Benton ",US,"(660) 553-2012"
"Compass Health Network - Wentzville","1032 Crosswinds Court",Wentzville,MO,63385,"St. Charles ",US,"(636) 695-6050"
"Compass Health/Crider Health Center (Behavioral Health Dental & Primary Care)","1032 Crosswinds Court",Wentzville,MO,63385,"St. Charles ",US,6363326000
"Compass Health/Crider Health Center (Behavioral Health Dental & Primary Care)","19515 Brune Parkway",Warrenton,MO,63383,"Warren ",US,6364561500
"Compass Health/Crider Health Center (Behavioral Health)","1780 Old Hwy. 50 East",Union,MO,63084,"Franklin ",US,6365840859
"Compass Health/Crider Health Center (Dental Services)","1780 Old Hwy. 50 East",Union,MO,63084,"Franklin ",US,6365832251
"Compass Health/Crider Health Center (Dental Services)","102 Compass Point Drive","St. Charles",MO,63301,"St. Charles ",US,6369464000
"Compass Health/Crider Health Center (Primary Care)","1780 Old Hwy. 50 East",Union,MO,63084,"Franklin ",US,6365840859
"Complete Healthcare Solutions","504 North Cleveland",Fayette,MO,65248,"Howard ",US,"(573) 999-5270"
"Complete Hearing Solutions P.C.","4200 Pioneer Woods Drive",Lincoln,NE,68506,"Lancaster County",US,"(402) 489-4418"
"Comprehensive Mental Health Services","17886 East 23rd Street",Independence,MO,64057,"Jackson ",US,"(816) 263-1734"
"COMTREA Comprehensive Health Center Dunklin","200 Senn Thomas Drive","Herculaneum ",MO,63048,"Jefferson ",US,6362246096
"Comtrea Inc. - Arnold","21 Municipal Drive",Arnold,MO,63010,"Jefferson ",US,"(636) 296-6206"
"Comtrea Inc. - Comprehensive Health Center at the Valley","4300 Gravois Road","House Springs",MO,63051,"Jefferson ",US,"(636) 321-0150"
"Comtrea Inc. - Festus","227 East Main Street",Festus,MO,63028,"Jefferson ",US,"(636) 931-2700"
"Comtrea Inc. - Fox Dental Comprehensive Health Center","849 Jeffco Boulevard",Arnold,MO,63010,"Jefferson ",US,"(636) 321-0135"
"Comtrea Inc. - High Ridge","1817 Gravois Road","High Ridge",MO,63049,"Jefferson ",US,"(636) 376-0079"
"Comtrea Inc. - High Ridge Family Medical Center","324 Emerson Road","High Ridge",MO,63049,"Jefferson ",US,"(636) 677-9977"
"Comtrea Inc. - Hillsboro","4 Hickory Ridge Road",Hillsboro,MO,63050,"Jefferson ",US,"(636) 481-6040"
"Comtrea Inc. - House Springs","7214 Executive Parkway","House Springs",MO,63051,"Jefferson ",US,"(314) 541-7170"
"Comtrea Inc. - Treatment Court","351 Main Street",Hillsboro,MO,63050,"Jefferson ",US,"(636) 931-2700"
"COMTREA Twin City Dental Center","112 South 2nd Street",Festus,MO,63028,"Jefferson ",US,6363210110
"COMTREA Welcome Center","2310 North Truman Blvd.","Crystal City ",MO,63019,"Jefferson ",US,6362205397
"Confluence Academy - Old North","3017 North 13th Street","St. Louis",MO,63017,"St. Louis ",US,"(314) 241-1110"
"Confluence Academy - South City","3112 Meramec Street","St. Louis",MO,63118,"St. Louis ",US,"(314) 481-4700"
"Confluence Preparatory Academy","310 North 15th Street","St. Louis",MO,63103,"St. Louis ",US,"(314) 881-1088"
"Connecticut Mental Health Center","270 Center Street","West Haven",CT,6516,,US,"(203) 974-5950"
"Connections Case Management","1727 West 26th Street",Joplin,MO,64804,"Jasper ",US,"(417) 850-7375"
"Connell Family Clinic","661 S Columbia Ave",Connell,WA,99326,Franklin,US,509-488-5256
"Consortium for Health Action","Suite 1007 CT2 The Light Building",Hanoi,,,,VN,-3807
"Consultants in Gastroenterology (CIG)","2521 Glen Hendren Drive",Liberty,MO,64068,"Clay ",US,"(816) 781-7200"
"Cooper County Board of Sheltered Services","1620 West Ashley Road Suite 1",Boonville,MO,65233,"Cooper ",US,"(660) 882-5112"
"Cooper County R-IV School District","500 East Main",Bunceton,MO,65237,"Cooper ",US,"(660) 427-5344"
"Coordinated Care of Washington","1145 Broadway",Tacoma,WA,98402,"Pierce County",US,"(877) 644-4613"
"Cooter School District","1867 State Highway E",Cooter,MO,63839,"Pemiscot ",US,"(573) 695-7286"
"Cor Jesu Academy","10230 Gravois Road","St. Louis",MO,63123,"St. Louis ",US,"(314) 842-1546"
"Cornerstone of Care","3100 NE 83rd Ste 1401","Kansas City",MO,64119,"Clay ",US,
"Cornerstone Psychological Services","1721 West Elfindale",Springfield,MO,65807,"Greene ",US,"(417) 209-3474"
"Cortland County Health Department",NA,,,,,US,
"Cortland County Health Department","60 Central Avenue",Cortland,NY,13045,,US,
"Cosmopolitan International Diabetes & Endocrinology Center","One Hospital Drive",Columbia,MO,65212,"Boone ",US,"(573) 882-3818"
"Couch R-I School District","22206 Highway 142",Myrtle,MO,65778,"Oregon ",US,"(417) 938-4215"
"Country Family Medicine","17600 Endicott Road",Kearney,MO,64060,"Clay ",US,"(816) 651-2258"
"County Rural Offices of Social Services (CROSS) Region - Iowa","2003 North Lincoln",Knoxville,IA,50138,"Marion County",US,"(641) 828-2238"
"County Welfare Directors Association of California","925 L Street Suite 350",Sacramento,CA,95814,"Sacramento County",US,628-249-6821
"Cox Barton County Hospital","29 Northwest 1st Lane",Lamar,MO,64759,"Barton ",US,"(417) 681-5100"
"Cox College","525 State Road K","Long Lane",MO,65590,"Dallas ",US,"(417) 987-6346"
"Cox College - Springfield","1423 North Jefferson",Springfield,MO,65802,"Greene ",US,"(901) 574-8235"
"Cox Family Medicine Residency Program","1423 North Jefferson Avenue Suite B100",Springfield,MO,65802,"Greene ",US,"(417) 616-1658"
"Cox Monett Rehab ","700 E Cleveland Street","Monett ",Mo,65708,"Barry ",US,
CoxHealth,"2900 South National Avenue Lower Level",Springfield,MO,65804,"Greene ",US,"(417) 269-9060"
"CoxHealth - Bone & Joint Center","3555 South National Avenue ",Springfield,MO,65807,"Greene ",US,"(417) 875-3445"
"CoxHealth - Branson West","18452 Missouri Business 13","Branson West",MO,65737,"Stone ",US,"(417) 272-8911"
"CoxHealth - C.A.R.E. Mobile","3525 South National Avenue #105",Springfield,MO,65807,"Greene ",US,"(417) 425-5642"
"CoxHealth - Campbell","2750 South Campbell Avenue",Springfield,MO,65807,"Greene ",US,"(734) 620-1158"
"CoxHealth - Cassville","75 Smithson Drive",Cassville,MO,65625,"Barry ",US,"(417) 342-0071"
"CoxHealth - Center for Addictions","1423 North Jefferson Avenue",Springfield,MO,65802,"Greene ",US,"(417) 269-2273"
"CoxHealth - Center for Health Improvement","960 East Walnut Lawn Street Suite 203",Springfield,MO,65807,"Greene ",US,"(417) 269-4847"
"CoxHealth - Diabetes & Endocrinology","960 East Walnut Lawn",Springfield,MO,65807,"Greene ",US,"(417) 269-4450"
"CoxHealth - Family Medical Care Center","1423 North Jefferson Avenue #B100",Springfield,MO,65802,"Greene ",US,"(417) 269-8817"
"CoxHealth - Family Medicine Residency Program","1423 North Jefferson Avenue - Suite 100-B",Springfield,MO,65802,"Greene ",US,"(417) 269-8787"
"CoxHealth - Family Practice & Obstetrics of Monett","815 North Lincoln Avenue",Monett,MO,65708,"Barry ",US,"(417) 354-1500"
"CoxHealth - Ferrell-Duncan Clinic","1001 East Primrose Street",Springfield,MO,65807,"Greene ",US,"(417) 875-3000"
"CoxHealth - Infectious Diseases Specialty Clinic","3800 South National Avenue Suite LL100",Springfield,MO,65807,"Greene ",US,"(417) 269-7784"
"CoxHealth - Jefferson","1423 North Jefferson Avenue",Springfield,MO,65802,"Greene ",US,"(417) 269-3000"
"CoxHealth - Lebanon","510 East Highway 32",Lebanon,MO,65536,"Laclede ",US,"(417) 532-8700"
"CoxHealth - Medical Group","1925 West Chesterfield Boulevard",Springfield,MO,65807,"Greene ",US,"(417) 269-9060"
"CoxHealth - Medical Mile Clinic","2900 South National Avenue",Springfield,MO,65804,"Greene ",US,"(417) 269-1459"
"CoxHealth - Monett","801 North Lincoln Avenue",Monett,MO,65708,"Lawrence ",US,"(417) 402-0062"
"CoxHealth - Mountain Grove","1602A North Main Street","Mountain Grove",MO,65711,"Wright ",US,"(417) 259-2684"
"CoxHealth - National","3801 South National Avenue",Springfield,MO,65807,"Greene ",US,"(417) 269-6000"
"CoxHealth - Northside Pediatrics & Adolescents","1443 North Robberson #200",Springfield,MO,65804,"Greene ",US,"(417) 269-8061"
"CoxHealth - Occupational Medicine","1499 North Robberson Avenue",Springfield,MO,65802,"Greene ",US,"(913) 626-9398"
"CoxHealth - Ozark","5548 North Farmer Branch Road",Ozark,MO,65721,"Christian ",US,"(417) 269-2215"
"CoxHealth - Panther Clinic","900 North Benton",Springfield,MO,65802,"Greene ",US,"(417) 873-6300"
"CoxHealth - Pediatric Center","3443 South National",Springfield,MO,65807,"Greene ",US,"(417) 269-2000"
"CoxHealth - Population Health","1443 North Robberson Suite 301",Springfield,MO,65802,"Greene ",US,"(417) 269-3822"
"CoxHealth - Psychological Services","3800 South National #770",Springfield,MO,65804,"Greene ",US,417-269-6891
"CoxHealth - Republic","820 South Illinois Avenue",Republic,MO,65738,"Greene ",US,"(417) 269-1910"
"CoxHealth - Senior Health Center","3525 South National Avenue Suite 207",Springfield,MO,65807,"Greene ",US,"(224) 563-8136"
"CoxHealth - Skin Care Clinic","1925 West Chesterfield Boulevard",Springfield,MO,65807,"Greene ",US,"(417) 269-9060"
"CoxHealth - Steeplechase Family Physicians","1530 East Republic Road",Springfield,MO,65804,"Greene ",US,"(417) 269-1362"
"CoxHealth - The Turner Center","1000 East Primrose Street",Springfield,MO,65804,"Greene ",US,"(417) 269-1010"
"CoxHealth - Walk-in Clinic","3805 South Kansas Expressway Suite B",Springfield,MO,65807,"Greene ",US,"(417) 269-0269"
"CoxHealth Basic Care","1425 North Jefferson Avenue",Springfield,MO,65804,"Greene ",US,"(417) 269-8633"
"CoxHealth Family Medicine - Branson","545 Branson Landing Boulevard Suite 408",Branson,MO,65616,"Taney ",US,"(417) 860-9931"
"CoxHealth Heart Center","1150 State Highway 248",Branson,MO,65616,"Taney ",US,"(573) 308-5187"
"CoxHealth Medical Center - Branson","525 Branson Landing Boulevard Suite 508",Branson,MO,65616,"Taney ",US,"(417) 335-7540"
"CoxHealth Network","3354 South National Avenue",Springfield,MO,65807,"Greene ",US,"(417) 269-7237"
"CoxHealth Outpatient Clinic - Branson","545 Branson Landing Boulevard",Branson,MO,65616,"Taney ",US,"(417) 348-8494"
"CoxHealth Ozark Pediatrics","1741 South 15th Street",Ozark,MO,65721,"Christian ",US,"(417) 763-8597"
"CoxHealth South","3800 South National Avenue",Springfield,MO,65807,"Greene ",US,"(417) 269-6000"
"CoxHealth Wound Care & Hyperbaric Medicine - Branson","101 Skaggs Road Suite 103",Branson,MO,65616,"Taney ",US,"(417) 335-7792"
"CPC Behavioral Healthcare - Aberdeen Counseling Center","1088 Highway 34",Aberdeen,NJ,7747,,US,
"CPC Behavioral Healthcare - Helen Herman Counseling Center","1088 Highway 34",Aberdeen,NJ,7747,,US,
"CPC Behavioral Healthcare - Helen Herman Counseling Center","270 Highway 35","Red Bank",NJ,7701,,US,
"Crawford County Mental Health Center","911 East Centennial",Pittsburg,KS,66762,"Crawford County",US,"(620) 231-5130"
"Crawford County R-I School District","1500 Old Highway 66",Bourbon,MO,65441,"Crawford ",US,"(573) 732-5615"
"Crawford County R-II School District","#1 Wildcate Pride Drive",Cuba,MO,65453,"Crawford ",US,"(573) 677-2508"
"Crest Ridge R-VII School District","92 Northwest 58 Highway",Centerview,MO,64019,"Johnson ",US,"(660) 656-3316"
"Crider Health Center - Warrenton","19515 Brune Parkway",Warrenton,MO,63385,"Warren ",US,"(636) 456-1500"
"Crider Health Center - Wentzville","1032 Crosswinds Court",Wentzville,MO,63385,"St. Charles ",US,"(636) 332-6000"
"Crittenton Children's Center","10918 Elm Avenue","Kansas City",MO,64157,"Jackson ",US,"(816) 767-7608"
"Crockerell-McIntosh Pediatrics","205 NW R.D. Mize Road Suite 304","Blue Springs",MO,64014,"Jackson ",US,"(816) 228-4770"
"Cross Trails Dental Center","1314 Brenda Ave",Perryville,MO,63775,"Perry ",US,5735170405
"Cross Trails Dental Clinic","109 Highway 51 North","Marble Hill",MO,63764,"Bollinger ",US,5732381110
"Cross Trails Dental Clinic","408 S. Broadview Street","Cape Girardeau",MO,63703,"Cape Girardeau ",US,5733344753
"Cross Trails Dental Clinic","307 Gabriel",Advance,MO,63730,"Stoddard ",US,5737223034
"Cross Trails Medical Center","109 Highway 51 North","Marble Hill",MO,63764,"Bollinger ",US,5732382725
"Cross Trails Medical Center","408 South Broadview Street","Cape Girardeau",MO,63703,"Cape Girardeau ",US,"(573) 332-0808"
"Cross Trails Medical Center","307 Gabriel",Advance,MO,63730,"Stoddard ",US,5737223034
"Cross Trails Medical Clinic","408 S. Broadview Street","Cape Girardeau",MO,63703,"Cape Girardeau ",US,5733320808
"Cross Trails Medical Clinic","1314 Brenda Ave",Perryville,MO,63775,"Perry ",US,5735170405
"Crossroads Charter Schools","1011 Central Street","Kansas City",MO,64105,"Jackson ",US,"(816) 221-2600"
"Crossroads Charter Schools - High School","816 Broadway Boulevard","Kansas City",MO,64105,"Jackson ",US,"(913) 633-5105"
"Crossroads Hospice","14310 East 42nd Street South",Independence,MO,64055,"Jackson ",US,"(913) 709-4826"
"Crossroads Hospice and Palliative Care","15450 South Outer Forty Drive",Chesterfield,MO,63017,"St. Louis ",US,"(847) 826-9319"
"Crouse Hospital","410 South Crouse Avenue",Syracuse,NY,13210,,US,
"Crownpoint Health Care Facility","Junction Highway 57 & Route 9",Crownpoint,NM,87313,"McKinley County",US,"(505) 786-6435"
"Crystal City 47 Public School","1100 Mississippi Avenue","Crystal City",MO,63019,"Jefferson ",US,"(636) 937-4411"
"CSA Surgical Center","3220 Bluff Creek Drive Suite 104",Columbia,MO,65201,"Boone ",US,"(573) 777-3365"
"CSI Solutions LLC","6701 Democracy Boulevard Suite 300",Bethesda,MD,20817,"Montgomery County",US,"(301) 571-2402"
"CTK Clinical Consultants","P.O. Box 573",Decatur,AL,35602,"Morgan County",US,"(773) 610-6022"
"Cultivate Resilience","206 West Red Bridge Road","Kansas City",MO,64114,"Jackson ",US,"(414) 368-9754"
"Culver-Stockton College","One College Hill",Canton,MO,63435,"Lewis ",US,"(573) 231-6688"
"Cumberland Family Medical Center","360 Keen Street",Burkesville,KY,42717,"Cumberland County",US,"(270) 864-2889"
"Cumberland Pediatric Foundation","3102 West End Avenue Suite 175",Nashville,TN,37203,"Davidson County",US,"(615) 936-6053"
"Cumming Pediatric Group","1800 Northside Forsyth Drive #460",Cumming,GA,30041,"Forsyth County",US,"(770) 888-8888"
"Cura Inc.","47 Lincoln Park",Newark,NJ,7101,,US,
"Cynergy Health","1100 Club Village Drive",Columbia,MO,65203,"Boone ",US,"(573) 447-4400"
"D&N Services Unlimited ","5843 Eagle Valley Drive","St. Louis",MO,63136,"St. Louis ",US,"(314) 371-7717"
"Dade County Health Department","413 West Water Street",Greenfield,MO,65661,"Dade ",US,"(417) 637-2345"
"Dakota Valley School District ","1150 Northshore Dr ","North Sioux City",SD,57049,,US,
"Dallas County R-I School District","1323 South Ash",Buffalo,MO,65622,"Dallas ",US,"(417) 345-2335"
"Danforth Intermediate Academy","1134 Saint Cyr Road","St. Louis",MO,63137,"St. Louis ",US,"(314) 868-9524"
"Daniel Bryant Youth & Family Treatment Center","PO Box 28","Santa Barbara",CA,93102-0028,,US,"(805) 730-7575 Ext. 125 "
"David M. Reisler MD","703 Wayfield Drive",Olivette,MO,63132,"St. Louis ",US,"(314) 997-7188"
"Daviess County Health Department","609A South Main Street",Gallatin,MO,64640,"Daviess ",US,"(660) 663-2414"
"Davis Health Center","812 Gorman Avenue",Elkins,WV,26241,"Randolph County",US,"(304) 637-3732"
DaVita,"19101 East Valleyview Parkway Suite E",Independence,MO,64056,"Jackson ",US,"(816) 795-6018"
"DaVita - Roseburg OR","2410 Northwest Edenbower Boulevard",Roseburg,OR,97471,"Douglas County",US,"(830) 730-8381"
"DBSA St. Louis Empowerment Center","1908 Olive Street","St. Louis",MO,63103,"St. Louis city ",US,"(314) 652-6100"
DCCCA,"1739 East 23rd Street",Lawrence,KS,66046,"Douglas County",US,"(816) 213-7162"
"DDD Title V Children with Special Health Care Needs","700 Main Street","Little Rock",AR,72203,"Pulaski County",US,"(501) 682-1464"
"De La Salle Education Center","3737 Troost Avenue","Kansas City",MO,64109,"Jackson ",US,"(614) 284-9439"
"Debra F. Fink Orthodontics","13302 Manchester Road","St. Louis",MO,63131,"St. Louis ",US,"(314) 984-9900"
"Deer Creek Transportation","14616 Paddington Avenue","Oklahoma City",OK,73142,"Oklahoma County",US,"(405) 824-6153"
"Delmar Gardens Home Care Inc.","14805 North Outer 40 Road Suite 320",Chesterfield,MO,63017,"St. Louis ",US,"(314) 494-2788"
"Delta Area Economic Opportunity Corporation","99 Skyview Road",Portageville,MO,63873,"New Madrid ",US,"(573) 379-6952"
"Delta Area Economic Opportunity Corportation","99 Skyview Road",Portageville,MO,63873,"New Madrid ",US,"(573) 379-3851"
"Delta C-7 School District","20 Charger Lane","Deering ",MO,63840,"Pemiscot ",US,"(573) 757-6615"
"Dent County Health Center","601 South McArthur",Salem,MO,65560,"Dent ",US,"(573) 729-3106"
"Dent-Phelps R-III School District","27870 Highway C",Salem,MO,65560,"Dent ",US,"(573) 729-4680"
"Dentistry for Children","7001 North Cherry",Gladstone,MO,64118,"Clay ",US,"(605) 222-9805"
"Denver Health & Hospital Authority","601 Broadway MS2800",Denver,CO,80203,"Denver County",US,"(303) 602-3608"
"Denver Public Schools","9200 Sugarstone Circle","Highlands Ranch",CO,80130,"Douglas County",US,"(303) 717-6358"
"Department of Health - Seminole","400 W Airport Blvd",Sanford,FL,32773,,US,
"Department of Health Management & Informatics - UMC","CE707 Clinical Support & Education Building",Columbia,MO,65212,"Boone ",US,"(573) 882-6178"
"Department of the Interior","P.O. Box 440",Belcourt,ND,58316,"Rolette County",US,"(701) 477-6471"
"Developing Minds Therapy Services","11939 Manchester Road #162","Des Peres",MO,63131,"St. Louis ",US,314-626-0306
"Developing Potential","251 Northwest Executive Way","Lee's Summit",MO,64063,"Jackson ",US,"(816) 252-0086"
"Developmental Center of the Ozarks","1545 East Pythian",Springfield,MO,65802,"Greene ",US,"(417) 829-0898"
"Developmental Disabilities Resource Board","1025 Country Club Road","St. Charles",MO,63303,"St. Charles ",US,"(636) 939-3351"
"Developmental FX","7770 East Iliff Avenue Suite C",Denver,CO,80231,"Denver County",US,"(303) 333-8360"
"Devereux PA CIDDS","390 East Boot Road","West Chester",PA,19380,"Chester County",US,"(610) 431-8124"
"DHSS Show Me Healthy Women","920 Wildwood Drive","Jefferson City",MO,65109,"Cole ",US,"(573) 522-2085"
"Dialysis Care Center","1728 Holmes Street","Kansas City",MO,64014,"Jackson ",US,"(816) 381-6167"
"Dialysis Clinic Inc.","3300 Lemone Industrial Boulevard",Columbia,MO,65202,"Boone ",US,"(573) 289-0782"
"Dialysis Clinic Inc. - Chicago","200 West Monroe Suite 900",Chicago,IL,60606,"Cook County",US,"(312) 756-2985"
"Dialysis Clinic Inc. - Jefferson City","1916 Boggs Creek Road","Jefferson City",MO,65101,"Cole ",US,"(573) 632-2633"
"Dialysis Clinic Inc. - West Plains","205 Valley View Drive","West Plains",MO,65775,"Howell ",US,"(417) 257-1683"
"Dickinson College","28 N College St",Carlisle,PA,17013,,US,
"Direct Patient Care St. Louis","500 Jungermann Road","St. Peter's",MO,63376,"St. Charles ",US,"(314) 680-1632"
"Direct Relief","6100 Wallace Becknell Road","Santa Barbara",CA,93117,"Santa Barbara County",US,"(805) 879-4920"
"Discover Home Care","733 West Main",Fredericktown,MO,63645,"Madison ",US,"(573) 747-5885"
"Diversity Telehealth LLC","1601 East 18th Street Suite 320A","Kansas City",MO,64108,"Jackson ",US,"(913) 710-3818"
"Division of Developmental Disabilities - Arizona","3443 North Central Avenue",Phoenix,AZ,85382,"Maricopa County",US,"(602) 542-6542"
DKBmed,"122 West 26th Street #1100","New York",NY,10001,"New York County",US,"(646) 336-6495"
"Doctor EJ's Fitness Bootcamp","P.O. Box 410312","Creve Coeur",MO,63141,"St. Louis ",US,"(573) 268-4830"
"Doncaster Clinical Commissioning Group","Sovereign House/White Rose House Heavens Walk",Doncaster,,"DN4 5DJ","No County",GB,"+44 1302 566300"
"Doniphan Family Clinic","109 Leroux Street",Doniphan,MO,63935,"Ripley ",US,5739962136
"Doniphan R-I School District","651 Summit Street",Doniphan,MO,63935,"Ripley ",US,"(573) 351-1514"
"Donna J. Davis","P.O. Box 1221","Platte City",MO,64079,"Platte ",US,"(816) 442-3481"
"Door Into the Future","823 Main Avenue",Passaic,NJ,7055,,US,
"Dora R-III School District","613 County Road 379",Dora,MO,65637,"Ozark ",US,"(417) 261-2263"
"Douglass Community Services Head Start","711 Gran Avenue",Hannibal,MO,63401,"Marion ",US,"(573) 221-3890"
"Dr. EJ's Fitness Bootcamp","P.O. Box 410312","Creve Coeur",MO,63141,"St. Louis ",US,"(573) 268-4830"
"Dr. Joyce Johnson MD","965 Midland","St. Louis",MO,63130,"St. Louis ",US,"(314) 781-5999"
"Dr. Tetgure's Healthcare","Ashwa Apex Building Shop No. 1 Opp. Gururaj Building Gurukul Society",Panchpakhadi,"Thane West",400606,"Thane Maharashtra",IN,"(914) 653-5425"
"Drew Lewis Foundation","1126 North Broadway",Springfield,MO,65802,"Greene ",US,"(417) 720-1890"
"Drexel R-IV School District","207 South 4th Street",Drexel,MO,64742,"Cass ",US,"(816) 667-4715"
"Drexel University","3141 Chestnut St",Philadelphia,PA,19104,,US,
"Dunbar Elementary School","1415 North Garrison","St. Louis","MO ",63106,"St. Louis city ",US,"(314) 533-2526"
"Dunklin County Health Department","410 Teaco Road",Kennett,MO,63857,"Dunklin ",US,"(573) 888-9008"
"E W Thompson State School for the Severely Disabled","1520 Thompson Boulevard",Sedalia,MO,65301,"Pettis ",US,"(660) 530-5575"
"Eagle College Preparatory Schools","3630 Ohio Ave","Saint Louis",MO,63118,"St. Louis ",US,3146647627
"Early Child's Hope - Steppingstone","5100 Noland Road","Kansas City",MO,64133,"Jackson ",US,"(816) 356-0187"
"East Buchanan C-1 School District","100 Smith Street",Gower,MO,64454,"Clinton ",US,"(816) 424-3111"
"East Carter County R-II School District","24 South Herre Road",Ellisnore,MO,63937,"Carter ",US,"(573) 322-8319"
"East Missouri Action Agency","403 Parkway Drive","Park Hills",MO,63601,"St. Francois ",US,"(573) 334-2516"
"East Newton County R-VI School District","22808 East Highway 86",Granby,MO,64844,"Newton ",US,"(417) 472-6231"
"East Prairie Dental Center","111 Prairie Drive","East Prairie",MO,63845,"Mississippi ",US,573649-9311
"East Prairie R-II School District","304 East Walnut","East Prairie",MO,63845,"Mississippi ",US,"(573) 649-3521"
"Easterseals Midwest - Columbia","918 Bernadette Drive",Columbia,MO,65203,"Boone ",US,"(314) 313-9213"
"Easterseals Midwest - St. Louis","11933 Westline Industrial Drive","St. Louis",MO,63146,"St. Louis ",US,"(708) 214-3863"
"ECHO Colorado Program Center","13055 East 17th Avenue Mailstop F801",Aurora,CO,80045,"Adams County",US,"(303) 724-9635"
